Column Name	Type	Location in Source Data Set	Value
			
Factor Variables			
			
subject	Integer	"files: subject_train.txt, subject_test.txt"	"The index # assigned to the participants of the study, this dataset includes records from the 9 test participants and 21 trial participants"
activity	Character	"files: activity_labels.txt (index to character relationship), y_test.txt (index for test data), y_train.txt (index for test data)"	"Activities are divided into 6 categories: ""LAYING"", ""SITTING"", ""STANDING"", ""WALKING"", ""WALKING_UPSTAIRS"", ""WALKING_DOWNSTAIRS"""
			
			
"Observation Fields: in this table, the values represent the mean values for each subject for each activity in each of the categories below"			
The column index to label relationship for all values below is derived from the file features.txt			
The names themselves were derived by applying the make.names() function to the original labels to make them machine readable			
			
tBodyAcc.mean...X	Numeric	tBodyAcc-mean()-X	"range: -1, 1; mean of all values for each subject and each activity"
tBodyAcc.mean...Y	Numeric	tBodyAcc-mean()-Y	"range: -1, 1; mean of all values for each subject and each activity"
tBodyAcc.mean...Z	Numeric	tBodyAcc-mean()-Z	"range: -1, 1; mean of all values for each subject and each activity"
tBodyAcc.std...X	Numeric	tBodyAcc-std()-X	"range: -1, 1; mean of all values for each subject and each activity"
tBodyAcc.std...Y	Numeric	tBodyAcc-std()-Y	"range: -1, 1; mean of all values for each subject and each activity"
tBodyAcc.std...Z	Numeric	tBodyAcc-std()-Z	"range: -1, 1; mean of all values for each subject and each activity"
tGravityAcc.mean...X	Numeric	tGravityAcc-mean()-X	"range: -1, 1; mean of all values for each subject and each activity"
tGravityAcc.mean...Y	Numeric	tGravityAcc-mean()-Y	"range: -1, 1; mean of all values for each subject and each activity"
tGravityAcc.mean...Z	Numeric	tGravityAcc-mean()-Z	"range: -1, 1; mean of all values for each subject and each activity"
tGravityAcc.std...X	Numeric	tGravityAcc-std()-X	"range: -1, 1; mean of all values for each subject and each activity"
tGravityAcc.std...Y	Numeric	tGravityAcc-std()-Y	"range: -1, 1; mean of all values for each subject and each activity"
tGravityAcc.std...Z	Numeric	tGravityAcc-std()-Z	"range: -1, 1; mean of all values for each subject and each activity"
tBodyAccJerk.mean...X	Numeric	tBodyAccJerk-mean()-X	"range: -1, 1; mean of all values for each subject and each activity"
tBodyAccJerk.mean...Y	Numeric	tBodyAccJerk-mean()-Y	"range: -1, 1; mean of all values for each subject and each activity"
tBodyAccJerk.mean...Z	Numeric	tBodyAccJerk-mean()-Z	"range: -1, 1; mean of all values for each subject and each activity"
tBodyAccJerk.std...X	Numeric	tBodyAccJerk-std()-X	"range: -1, 1; mean of all values for each subject and each activity"
tBodyAccJerk.std...Y	Numeric	tBodyAccJerk-std()-Y	"range: -1, 1; mean of all values for each subject and each activity"
tBodyAccJerk.std...Z	Numeric	tBodyAccJerk-std()-Z	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyro.mean...X	Numeric	tBodyGyro-mean()-X	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyro.mean...Y	Numeric	tBodyGyro-mean()-Y	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyro.mean...Z	Numeric	tBodyGyro-mean()-Z	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyro.std...X	Numeric	tBodyGyro-std()-X	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyro.std...Y	Numeric	tBodyGyro-std()-Y	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyro.std...Z	Numeric	tBodyGyro-std()-Z	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyroJerk.mean...X	Numeric	tBodyGyroJerk-mean()-X	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyroJerk.mean...Y	Numeric	tBodyGyroJerk-mean()-Y	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyroJerk.mean...Z	Numeric	tBodyGyroJerk-mean()-Z	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyroJerk.std...X	Numeric	tBodyGyroJerk-std()-X	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyroJerk.std...Y	Numeric	tBodyGyroJerk-std()-Y	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyroJerk.std...Z	Numeric	tBodyGyroJerk-std()-Z	"range: -1, 1; mean of all values for each subject and each activity"
tBodyAccMag.mean..	Numeric	tBodyAccMag-mean()	"range: -1, 1; mean of all values for each subject and each activity"
tBodyAccMag.std..	Numeric	tBodyAccMag-std()	"range: -1, 1; mean of all values for each subject and each activity"
tGravityAccMag.mean..	Numeric	tGravityAccMag-mean()	"range: -1, 1; mean of all values for each subject and each activity"
tGravityAccMag.std..	Numeric	tGravityAccMag-std()	"range: -1, 1; mean of all values for each subject and each activity"
tBodyAccJerkMag.mean..	Numeric	tBodyAccJerkMag-mean()	"range: -1, 1; mean of all values for each subject and each activity"
tBodyAccJerkMag.std..	Numeric	tBodyAccJerkMag-std()	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyroMag.mean..	Numeric	tBodyGyroMag-mean()	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyroMag.std..	Numeric	tBodyGyroMag-std()	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyroJerkMag.mean..	Numeric	tBodyGyroJerkMag-mean()	"range: -1, 1; mean of all values for each subject and each activity"
tBodyGyroJerkMag.std..	Numeric	tBodyGyroJerkMag-std()	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAcc.mean...X	Numeric	fBodyAcc-mean()-X	"range: -1, 1; mean of all values for each subject and each activity"
